Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Australia,2019,4000.0,2500.0,28.194565457448636,25.272799524030336,13.58142054182868,10.944253317986805,7.47205084611894,8.906588698065349,Oceania
Australia,2020,3876.0,2422.5,31.046040272739937,24.223110712476803,15.417608565884127,10.630965007963734,6.5812458660374915,7.1570638009972445,Oceania
Australia,2021,4161.6,2601.0,29.5282287723016,25.145234865911213,15.439512226852436,9.18187944776812,6.384242787078622,7.217310003833591,Oceania
Australia,2022,4244.832,2653.0200000000004,31.696010801252307,24.858937468390927,14.220539701480835,10.793988399084814,6.989616241383148,7.383910789806169,Oceania
Australia,2023,4329.72864,2706.0804,28.472453525796382,24.780365150420558,15.772963180432793,10.65948014110304,7.977718766693746,7.235976276110565,Oceania
Brazil,2019,1200.0,900.0,34.131820693477735,18.731985572408227,6.523479245854688,11.251205953661772,7.754803852167022,14.09717606308386,South America
Brazil,2020,1162.8,872.0999999999999,36.360451252399166,17.723844372522272,3.1279380433243817,12.741135506078583,8.402943532063082,15.927653040359086,South America
Brazil,2021,1248.48,936.36,35.21282158576386,17.498720829905864,5.51763982373868,11.43019614556449,7.5705906804936705,14.522071077541561,South America
Brazil,2022,1273.4496000000001,955.0872000000002,33.452347073531044,17.424448455269722,6.748693795977596,12.20659237503251,7.692066241893155,15.225664092049408,South America
Brazil,2023,1298.918592,974.188944,33.63132118266065,17.171041796556473,5.196191216480742,12.506650171133835,8.760538245512922,15.433433979176026,South America
Canada,2019,4200.0,2700.0,30.303082371526802,26.689287857018307,14.331173572476269,9.325894204781074,5.218637060368092,6.49204815313658,North America
Canada,2020,4069.7999999999997,2616.2999999999997,30.70919484689249,26.965074332514796,15.5540641306065,8.01931584353023,6.1077462722351985,6.82700302818321,North America
Canada,2021,4369.68,2809.08,30.568422049146957,26.762506582213586,15.74639594609642,8.17121643955689,6.082813119780305,6.9204786024999185,North America
Canada,2022,4457.073600000001,2865.2616000000003,30.48487456214243,26.352107377005918,12.004494285130779,9.745866479446786,5.8283744363111145,7.418165862161102,North America
Canada,2023,4546.215072,2922.566832,32.697776025351324,27.5845537177304,13.290065064795838,8.399095572623892,6.963524137757258,7.125663104374576,North America
China,2019,1500.0,1000.0,28.003694692020794,14.792401170606379,11.307470540422651,8.262623710549246,4.5805911791428695,12.533985094850213,Asia
China,2020,1453.5,969.0,31.733245463440085,15.498312711253792,11.779203516564271,8.123581280891576,4.076389505096241,12.421361219025103,Asia
China,2021,1560.6,1040.4,30.095131062741263,15.656499914020245,11.290345098793395,7.5306568197075325,4.763246153632945,12.395909729104343,Asia
China,2022,1591.8120000000001,1061.208,28.034211020319,15.128791625733262,9.341314161967013,8.42556712040483,4.532806122392344,12.417526431189392,Asia
China,2023,1623.64824,1082.43216,28.451232276429185,15.105189759829898,8.66481407193264,7.207916561105326,4.636553311933923,12.182835033498701,Asia
France,2019,3200.0,2100.0,33.92534427883878,29.242983593183414,13.941690572329103,11.447081686223704,7.034194515257441,10.111206384406433,Europe
France,2020,3100.7999999999997,2034.8999999999999,33.786793657272284,29.46950129363713,13.221784730347997,10.956223611587227,7.776921347780212,9.60970094312434,Europe
France,2021,3329.2799999999997,2184.84,33.379186577238514,30.467871931112875,12.080346563894686,10.920448163193628,7.852979284077064,10.718664919433735,Europe
France,2022,3395.8656000000005,2228.5368000000003,35.57835070767888,29.03724724456374,13.013212511368263,11.565854878856264,6.0485521816640055,10.749737646240444,Europe
France,2023,3463.782912,2273.107536,33.8397961266081,30.083432822986563,10.813391323060367,11.294375489333893,6.235868928784794,9.114829328134984,Europe
Germany,2019,3500.0,2300.0,34.06541382484264,27.68255557367463,11.408339623406489,9.939738688649769,6.857575086389103,9.00749931683555,Europe
